0.984757	-0.173735
0.994525	-0.175872
1.0043	-0.177962
1.0141	-0.179966
1.02391	-0.181902
1.03373	-0.183779
1.04357	-0.185605
1.05341	-0.187386
1.06325	-0.189125
1.07311	-0.190826
1.08297	-0.192491
1.09283	-0.194123
1.10271	-0.195724
1.11258	-0.197296
1.12246	-0.19884
1.13235	-0.200358
1.14223	-0.20185
1.15212	-0.203319
1.16202	-0.204765
1.17192	-0.206188
1.18182	-0.207591
1.19172	-0.208973
1.20163	-0.210336
1.21154	-0.211679
1.22145	-0.213005
1.23137	-0.214313
1.24128	-0.215604
1.2512	-0.216879
1.26112	-0.218137
1.27104	-0.21938
1.28097	-0.220608
1.29089	-0.221822
1.30082	-0.223021
1.31075	-0.224207
1.32068	-0.225378
1.33061	-0.226537
1.34055	-0.227684
1.35048	-0.228817
1.36042	-0.229939
1.37036	-0.231049
1.3803	-0.232147
1.39024	-0.233234
1.40018	-0.234309
1.41012	-0.235375
1.42007	-0.236429
1.43001	-0.237473
1.43996	-0.238508
1.44991	-0.239532
1.45986	-0.240547
1.46981	-0.241552
1.47976	-0.242548
1.48971	-0.243535
1.49966	-0.244513
1.50961	-0.245482
1.51957	-0.246443
1.52952	-0.247395
1.53948	-0.248339
1.54943	-0.249275
1.55939	-0.250203
1.56935	-0.251123
1.5793	-0.252036
1.58926	-0.252941
1.59922	-0.253839
1.60918	-0.254729
1.61914	-0.255612
1.62911	-0.256489
1.63907	-0.257358
1.64903	-0.258221
1.65899	-0.259077
1.66896	-0.259926
1.67892	-0.260769
1.68889	-0.261606
1.69885	-0.262436
1.70882	-0.263261
1.71878	-0.264079
1.72875	-0.264891
1.73872	-0.265698
1.74869	-0.266498
1.75866	-0.267293
1.76862	-0.268082
1.77859	-0.268866
1.78856	-0.269645
1.79853	-0.270418
1.8085	-0.271185
1.81847	-0.271948
1.82845	-0.272705
1.83842	-0.273457
1.84839	-0.274205
1.85836	-0.274947
1.86833	-0.275684
1.87831	-0.276417
1.88828	-0.277145
1.89826	-0.277868
1.90823	-0.278587
1.9182	-0.279301
1.92818	-0.280011
1.93815	-0.280716
1.94813	-0.281417
1.9581	-0.282114
1.96808	-0.282806
1.97806	-0.283494
1.98803	-0.284178
1.99801	-0.284858
2.00799	-0.285534
